densidad_escuelas,densidad_hospitales,densidad_gimnasios,densidad_papelerias,densidad_farmacias,densidad_comercios,target
12,37,3,7,9,159,5
4,1,1,2,1,242,5
5,6,0,2,1,145,0
11,8,6,1,8,94,5
5,7,0,3,1,19,0
2,9,0,1,0,26,1
1,2,0,2,1,25,0
2,2,0,1,1,31,0
4,4,0,2,2,52,0
0,9,0,1,2,21,0
2,2,2,3,5,53,5
4,0,0,2,1,46,0
8,107,3,3,11,110,5
9,512,8,4,18,58,5
8,8,2,1,5,68,5
14,234,6,14,49,599,5
8,21,2,5,7,55,5
7,8,1,0,2,76,3
14,59,2,6,27,923,5
18,12,3,8,12,81,5
2,2,1,1,1,36,5
6,11,3,6,2,60,5
9,543,1,2,20,44,5
8,2,3,3,3,38,5
3,1,2,2,0,26,1
9,7,0,2,2,24,0
2,11,1,3,2,22,5
1,0,0,0,0,5,3
8,24,2,1,2,405,5
20,80,9,4,13,142,5
14,24,3,1,5,56,5
10,117,3,9,11,222,5
2,17,3,2,5,74,5
2,3,0,3,1,66,0
13,9,1,0,0,20,3
12,308,7,8,34,306,5
3,11,3,2,2,54,5
3,2,3,2,0,27,1
3,2,0,0,3,59,3
6,418,1,1,20,30,5
22,69,7,5,21,276,5
18,39,1,4,20,225,5
10,139,4,7,16,165,5
10,48,9,2,9,91,5
8,26,5,5,5,134,5
7,20,3,8,3,34,5
13,41,4,4,3,137,5
13,215,2,3,25,71,5
33,93,4,5,9,91,5
4,1,1,1,1,15,5
8,2,1,1,2,49,5
14,28,2,3,7,85,5
32,100,2,6,14,163,5
5,9,4,4,4,58,5
23,55,1,6,28,969,5
6,10,2,3,3,58,5
22,69,6,5,22,273,5
9,18,5,6,7,94,5
8,10,1,1,2,23,5
4,34,8,0,4,34,3
9,18,5,6,7,94,5
9,6,0,7,3,51,0
8,15,4,1,8,219,5
5,21,3,1,6,66,5
9,12,6,2,5,84,5
5,2,0,1,1,13,0
5,2,2,2,1,37,5
8,31,5,1,12,88,5
27,101,8,2,9,89,5
0,0,0,0,0,5,0
21,119,4,4,8,85,5
13,16,1,6,6,123,5
7,1,0,1,2,37,0
15,34,4,10,7,121,5
12,48,5,3,10,155,5
6,5,1,3,2,55,5
8,3,4,1,0,28,1
2,1,0,0,0,10,3
8,14,1,5,1,59,5
7,20,2,0,1,34,3
3,2,0,0,2,29,3
8,5,0,4,2,52,0
12,14,2,2,2,40,5
9,8,1,4,5,57,5
3,5,2,1,1,26,5
5,4,1,2,3,39,5
19,43,1,1,4,51,5
3,0,0,1,1,16,0
2,15,2,3,4,49,5
7,13,4,2,8,172,5
9,56,8,3,5,47,5
7,9,2,4,7,49,5
23,55,1,6,28,969,5
5,10,5,2,3,84,5
3,2,0,1,1,31,0
4,8,3,3,3,38,5
11,22,2,6,6,124,5
14,11,3,2,8,138,5
18,174,4,33,96,608,5
16,28,3,8,13,118,5
30,419,10,46,101,799,5
5,12,2,3,3,61,5
10,138,3,2,15,253,5
3,14,4,2,4,37,5
8,15,4,1,8,219,5
4,4,0,1,0,17,1
9,200,7,7,31,278,5
4,7,2,3,4,46,5
10,5,0,8,4,73,0
20,87,6,13,28,502,5
0,0,1,0,0,5,5
3,0,0,2,1,26,0
9,267,0,1,7,20,0
5,4,0,5,0,36,1
6,5,1,6,4,55,5
9,27,5,2,9,85,5
0,0,1,0,4,96,5
9,76,1,2,6,40,5
4,2,0,2,0,21,1
3,14,2,1,4,70,5
3,2,0,2,0,14,1
7,7,0,2,3,83,0
13,250,3,8,13,174,5
18,11,5,2,7,118,5
12,17,7,1,2,71,5
2,0,0,0,0,3,3
6,3,0,2,2,42,0
2,2,0,1,0,40,1
9,17,0,4,3,40,0
25,55,2,6,29,971,5
5,2,0,3,1,41,0
7,2,2,0,1,36,3
18,25,5,3,6,94,5
9,409,1,2,24,222,5
2,8,2,1,3,77,5
2,0,0,0,0,13,3
17,85,0,2,6,86,0
9,17,1,2,3,41,5
31,377,9,44,100,826,5
10,31,3,1,1,37,5
14,47,4,5,6,114,5
16,23,2,5,6,60,5
7,3,0,2,1,65,0
9,24,7,4,6,120,5
21,159,6,11,20,344,5
4,10,6,2,3,92,5
11,311,2,3,12,57,5
29,69,7,3,14,182,5
4,4,0,6,0,75,1
5,7,0,5,2,46,0
8,7,3,4,2,96,5
2,3,0,2,2,60,0
9,172,1,6,28,137,5
0,1,0,0,2,31,0
12,19,5,1,1,40,5
7,7,1,4,4,80,5
11,9,3,7,5,114,5
1,4,0,0,2,21,3
3,4,1,4,0,28,1
25,55,2,6,29,971,5
6,2,0,2,1,60,0
12,128,6,9,35,558,5
1,5,1,2,1,52,5
5,0,1,2,0,36,5
16,572,2,5,23,78,5
23,55,1,6,28,969,5
9,11,4,6,7,55,5
0,1,0,0,0,8,1
19,53,5,8,19,878,5
34,410,9,55,135,962,5
2,9,2,0,2,34,3
19,584,3,9,19,102,5
6,7,1,1,3,44,5
8,57,8,3,5,51,5
27,10,0,3,6,42,0
4,2,1,2,2,13,5
12,20,4,6,8,114,5
5,9,3,1,4,93,5
12,56,6,9,19,395,5
9,11,1,5,5,57,5
7,13,2,3,5,24,5
8,10,1,4,5,99,5
13,25,3,4,6,80,5
5,1,0,2,0,14,1
4,9,1,5,1,22,5
50,5,3,4,5,26,5
3,7,3,2,3,135,5
4,5,0,2,0,24,1
3,3,0,0,0,20,3
18,103,4,5,8,108,5
6,4,0,2,1,20,0
5,7,1,1,1,37,5
6,2,0,3,1,11,0
6,1,0,2,1,31,0
3,7,2,0,1,57,3
2,16,6,0,14,65,3
13,22,2,3,2,420,5
10,6,0,4,5,44,0
4,2,1,1,1,37,5
2,1,0,2,0,22,1
3,1,3,2,2,23,5
2,6,2,1,1,38,5
1,8,3,1,4,23,5
5,9,2,2,0,68,1
8,3,4,1,0,28,1
5,22,4,1,5,56,5
31,130,10,6,22,277,5
9,14,5,0,4,78,3
8,13,3,4,5,77,5
1,1,0,0,0,0,3
4,9,3,2,2,69,5
9,13,3,6,5,54,5
2,1,3,1,1,27,5
2,4,3,2,0,24,1
7,13,2,4,3,75,5
5,12,2,2,4,68,5
7,2,0,3,3,36,0
4,22,1,0,2,20,3
5,3,3,9,2,71,5
13,43,1,4,9,62,5
2,3,2,0,2,19,3
8,41,4,4,7,93,5
16,44,0,1,4,54,0
1,2,0,2,0,27,1
8,8,1,3,1,34,5
15,31,1,2,4,52,5
19,69,5,2,14,103,5
26,55,2,7,29,972,5
5,10,3,2,7,65,5
13,7,4,2,3,44,5
6,6,6,2,2,37,5
4,10,3,5,4,102,5
15,14,3,2,8,129,5
16,215,2,6,8,65,5
11,22,2,6,6,124,5
11,311,2,3,12,57,5
27,116,10,10,28,416,5
3,2,1,0,1,14,3
9,13,3,6,5,54,5
1,2,0,1,1,51,0
6,8,2,3,1,19,5
12,64,2,6,9,57,5
13,27,2,4,5,85,5
10,28,3,4,5,107,5
6,5,2,2,1,27,5
12,20,2,6,5,73,5
3,11,4,3,4,52,5
15,60,2,4,13,117,5
9,23,2,2,5,101,5
7,8,2,2,0,40,1
5,8,2,4,3,44,5
10,17,6,2,5,80,5
3,1,0,1,0,23,1
6,2,0,2,1,64,0
14,153,2,23,80,503,5
10,13,6,8,7,126,5
12,6,1,4,1,43,5
2,3,1,4,2,50,5
5,12,3,3,4,61,5
4,5,1,2,3,39,5
21,409,4,9,18,118,5
17,274,3,7,35,195,5
20,200,5,30,105,647,5
5,8,2,1,6,35,5
5,334,3,3,30,195,5
1,1,1,0,0,3,3
3,1,0,0,0,6,3
0,1,0,0,0,8,1
5,6,1,2,0,44,1
11,27,3,3,8,144,5
13,34,5,8,13,192,5
23,216,5,6,32,265,5
0,0,0,1,2,20,0
3,10,1,2,1,64,5
4,1,1,0,0,33,3
6,14,1,1,4,42,5
30,184,5,7,19,175,5
7,7,0,2,2,83,0
7,18,2,0,6,36,3
8,4,2,1,0,26,1
12,7,6,1,7,96,5
31,86,4,4,15,160,5
6,0,0,1,0,9,0
3,2,0,1,1,31,0
4,0,0,1,0,16,0
14,21,3,4,8,77,5
0,2,2,1,0,22,1
11,30,4,5,7,122,5
4,7,0,7,4,145,0
5,17,0,0,6,56,3
19,342,8,22,73,724,5
5,2,0,1,0,22,1
7,388,0,0,21,24,3
4,17,5,0,10,75,3
10,19,7,4,7,77,5
0,0,1,0,1,14,5
7,17,3,5,2,34,5
26,20,5,1,3,47,5
4,4,0,1,0,25,1
4,10,2,1,6,52,5
9,23,4,7,4,108,5
11,57,4,2,13,101,5
4,5,1,5,0,30,1
7,8,0,7,1,77,0
1,4,2,1,1,89,5
8,39,4,3,6,86,5
13,285,7,8,31,276,5
13,22,4,1,6,50,5
3,1,0,0,1,10,3
29,352,11,50,118,942,5
8,7,0,1,0,32,1
8,10,1,2,3,46,5
14,11,3,0,2,40,3
2,2,0,1,0,18,1
7,1,2,6,2,57,5
7,98,2,1,10,36,5
2,0,1,0,1,49,3
6,3,4,1,3,55,5
8,26,1,4,12,350,5
32,77,3,4,17,153,5
1,2,1,0,1,26,3
21,37,6,6,9,326,5
12,203,7,12,37,311,5
0,1,1,0,0,3,1
16,248,2,5,30,82,5
6,34,2,6,14,367,5
5,6,2,6,4,94,5
2,3,0,0,0,8,3
17,582,2,9,20,92,5
13,54,5,6,12,505,5
4,8,4,1,6,101,5
11,25,1,0,3,57,3
5,5,1,1,4,45,5
3,12,1,1,4,37,5
4,30,2,1,7,43,5
24,91,2,5,10,59,5
13,25,3,4,6,80,5
29,352,11,50,118,942,5
3,3,1,2,2,30,5
1,0,1,0,0,2,3
24,72,7,2,9,123,5
7,23,1,8,8,127,5
19,53,0,6,28,609,0
4,4,2,3,0,26,1
30,127,8,9,26,339,5
1,2,1,0,0,7,3
5,2,1,3,0,28,1
6,0,0,1,0,11,0
0,0,1,1,0,18,5
1,7,1,0,3,20,3
27,145,7,2,11,128,5
9,22,5,3,3,68,5
17,25,2,4,6,66,5
12,7,3,5,1,26,5
2,77,1,1,25,58,5
1,2,1,0,2,19,3
13,18,1,5,5,123,5
25,274,10,54,141,1100,5
6,5,3,4,4,94,5
9,4,4,0,2,19,3
2,7,1,4,4,58,5
5,12,1,1,7,59,5
0,1,0,0,0,0,1
3,4,0,1,0,44,1
3,1,17,0,0,14,3
5,1,0,1,0,17,1
14,154,2,24,78,492,5
12,12,4,2,4,60,5
9,36,2,2,8,49,5
12,23,3,1,9,132,5
11,16,5,8,9,115,5
5,5,1,3,3,22,5
9,10,0,3,7,62,0
5,14,4,3,3,64,5
12,53,3,5,14,541,5
6,2,3,2,2,39,5
4,8,1,1,6,26,5
8,3,6,7,2,87,5
2,3,1,2,6,74,5
1,3,0,0,3,133,3
0,1,1,0,0,25,1
11,6,1,4,2,42,5
2,1,1,0,0,12,3
4,15,1,4,3,34,5
10,21,2,3,6,111,5
0,0,2,1,0,3,5
8,8,2,1,5,68,5
7,90,5,2,5,65,5
14,4,3,2,1,28,5
23,40,1,3,4,48,5
6,5,0,1,3,39,0
11,26,3,3,5,74,5
3,17,2,0,7,35,3
34,410,9,55,135,962,5
0,0,1,1,0,15,5
25,377,9,19,58,618,5
13,27,2,7,3,63,5
0,3,2,5,4,44,5
3,0,2,2,0,16,5
12,35,0,2,4,50,0
4,5,0,1,0,24,1
7,12,2,5,2,78,5
14,9,5,1,4,62,5
12,231,5,3,12,62,5
3,13,3,1,5,88,5
29,356,11,50,114,937,5
3,8,1,1,0,50,1
11,21,4,6,7,116,5
5,2,1,3,2,33,5
12,187,7,11,36,340,5
2,1,2,0,2,24,3
9,3,0,2,4,41,0
2,0,0,1,0,15,0
14,32,3,9,2,103,5
7,4,1,1,3,58,5
3,3,0,4,1,25,0
7,6,2,4,3,13,5
12,155,8,8,24,288,5
16,38,4,10,8,117,5
9,2,2,5,2,128,5
9,23,4,7,4,108,5
17,19,4,7,8,137,5
17,39,8,6,12,111,5
13,18,6,3,2,56,5
3,0,0,3,3,46,0
2,8,1,1,1,21,5
10,219,5,3,12,62,5
2,1,0,3,0,48,1
5,3,0,6,2,52,0
5,3,1,4,1,60,5
5,19,1,3,4,86,5
19,286,0,1,11,15,0
7,6,1,2,4,60,5
1,5,3,2,1,52,5
20,358,8,19,56,640,5
16,46,1,1,4,50,5
18,573,3,8,25,90,5
9,36,2,2,8,49,5
0,8,2,0,1,19,5
8,6,1,2,4,42,5
16,16,3,2,2,58,5
3,4,0,0,1,37,3
12,429,4,4,15,70,5
3,3,0,5,1,35,0
13,30,4,4,7,122,5
19,61,4,0,5,44,3
8,14,0,6,4,93,0
7,2,0,3,2,32,0
0,3,1,2,3,13,5
18,11,5,2,7,118,5
10,21,2,0,2,34,3
4,6,1,0,2,33,3
11,20,4,3,8,270,5
4,7,0,2,4,63,0
10,7,4,1,6,84,5
10,8,5,2,6,111,5
25,19,4,1,3,30,5
2,11,4,2,5,73,5
26,77,5,1,6,52,5
29,136,2,6,18,159,5
4,5,1,5,2,63,5
6,3,1,2,0,20,1
13,29,4,3,12,116,5
11,7,0,13,4,89,0
0,1,0,0,0,3,1
1,6,1,1,0,39,1
11,11,5,1,1,68,5
11,6,1,4,1,34,5
5,5,5,0,0,46,3
12,15,1,1,2,42,5
4,26,8,0,3,36,3
4,4,0,1,2,34,0
10,7,2,4,2,82,5
8,4,1,2,2,51,5
6,10,2,4,3,51,5
21,37,6,6,9,326,5
4,5,0,5,2,38,0
7,13,2,3,5,24,5
23,362,8,16,50,588,5
7,7,4,8,4,105,5
3,3,1,0,0,23,3
2,144,1,1,26,61,5
8,19,1,2,4,60,5
2,23,1,0,1,28,3
4,4,2,0,1,16,3
15,150,3,16,80,519,5
10,138,3,2,15,253,5
8,29,3,4,7,94,5
3,4,1,5,1,48,5
8,13,2,6,8,95,5
6,0,0,0,0,10,3
6,9,4,1,1,52,5
6,4,0,2,0,71,1
3,5,2,3,4,66,5
15,20,4,2,9,73,5
1,1,0,0,0,13,3
8,24,4,5,9,122,5
11,16,5,8,9,115,5
9,16,1,1,1,25,5
2,18,1,6,3,72,5
12,56,6,9,19,395,5
10,10,1,4,4,30,5
26,131,5,3,10,119,5
13,31,5,5,7,122,5
0,0,0,2,0,122,0
9,14,1,5,7,65,5
7,10,0,2,2,49,0
13,57,4,5,14,502,5
10,19,7,1,7,75,5
7,8,3,4,1,56,5
13,13,3,2,4,69,5
8,4,1,2,1,36,5
7,2,2,0,2,10,3
3,5,1,0,0,17,3
3,14,2,2,5,77,5
2,4,1,3,2,25,5
5,2,4,3,5,51,5
14,191,2,4,24,78,5
8,2,1,2,5,48,5
3,22,2,0,3,25,3
1,2,0,1,0,26,1
13,21,2,7,3,106,5
12,15,3,6,6,77,5
7,21,6,2,3,67,5
1,0,0,0,0,11,3
3,2,0,0,0,10,3
9,41,9,3,9,63,5
7,28,1,0,10,55,3
6,4,3,0,2,152,3
2,3,0,3,1,51,0
7,19,2,3,5,105,5
2,1,1,1,0,11,1
15,62,6,11,29,540,5
4,11,1,1,7,42,5
10,6,1,2,4,99,5
2,4,1,1,0,3,1
4,6,2,1,1,34,5
8,4,0,3,1,48,0
5,9,3,1,4,93,5
5,3,0,1,2,26,0
9,10,3,3,4,60,5
4,1,0,0,0,15,3
4,8,4,1,6,101,5
6,7,1,3,5,60,5
2,6,4,1,2,81,5
2,16,2,4,3,116,5
45,12,2,4,4,31,5
24,73,6,5,21,271,5
14,13,2,0,2,40,3
0,0,0,1,1,18,0
8,68,3,0,2,61,3
2,0,0,0,0,0,3
11,22,2,1,6,80,5
8,2,3,3,3,38,5
7,20,3,1,7,50,5
3,3,1,2,3,12,5
9,15,0,5,2,60,0
6,20,2,1,1,35,5
13,567,2,4,18,69,5
10,301,5,7,36,270,5
12,20,4,6,8,114,5
5,12,0,1,4,14,0
5,12,0,3,8,60,0
6,6,3,6,1,84,5
2,2,1,2,1,50,5
2,8,1,0,2,14,3
4,2,1,1,1,37,5
10,6,1,4,5,47,5
3,3,0,0,0,25,3
6,7,0,6,3,48,0
4,10,0,1,7,45,0
0,0,0,0,0,1,2
7,30,1,4,3,431,5
11,11,4,1,7,68,5
8,20,1,5,5,90,5
29,235,6,11,17,169,5
3,0,0,1,1,24,0
12,41,3,6,12,149,5
8,50,7,5,11,114,5
3,1,0,4,0,42,1
5,5,0,3,1,48,0
0,1,0,1,0,13,1
7,7,2,1,3,16,5
12,37,2,5,10,112,5
1,3,2,2,0,21,1
8,120,4,8,15,151,5
14,47,4,5,6,114,5
2,4,0,1,0,3,1
16,15,4,0,13,70,3
11,16,5,8,9,115,5
14,25,3,3,7,85,5
16,27,4,0,8,41,3
3,3,0,1,4,73,0
17,19,5,3,4,91,5
7,1,2,7,2,69,5
4,4,0,3,2,57,0
2,23,1,0,1,28,3
1,2,0,3,0,55,1
5,17,5,1,1,40,5
8,78,3,8,54,205,5
4,12,3,2,4,73,5
29,165,8,12,24,392,5
20,353,5,16,52,565,5
2,0,0,0,0,4,3
31,147,5,8,22,175,5
3,1,0,2,0,24,1
8,246,6,5,29,249,5
9,118,3,4,11,152,5
3,4,0,0,1,26,3
6,2,0,2,0,24,1
10,63,2,2,4,40,5
6,7,3,3,3,27,5
10,18,2,8,9,122,5
15,29,1,7,5,317,5
9,16,1,2,1,32,5
12,63,8,0,6,54,3
2,144,1,1,26,61,5
15,336,0,1,11,13,0
10,10,4,3,5,145,5
7,8,3,7,1,74,5
7,0,0,6,0,59,0
0,1,0,0,0,7,1
15,32,4,5,6,306,5
5,17,1,5,7,84,5
5,12,2,2,4,68,5
10,15,6,3,2,54,5
10,9,8,1,0,15,1
7,5,1,4,1,77,5
7,5,2,4,0,57,1
12,19,5,1,1,40,5
3,35,1,2,29,230,5
8,10,2,2,2,116,5
19,53,5,8,19,878,5
8,527,6,4,18,67,5
3,0,0,0,0,0,3
9,45,3,1,10,105,5
13,14,5,4,7,95,5
4,7,2,2,4,45,5
34,410,9,55,135,962,5
5,15,1,3,3,59,5
0,2,1,1,0,24,1
4,140,1,1,7,40,5
4,20,1,2,6,42,5
7,6,0,3,2,38,0
9,5,1,2,1,49,5
9,8,2,0,2,81,3
1,6,1,1,1,19,5
0,0,0,0,0,10,0
8,7,3,3,5,60,5
24,18,6,1,2,35,5
3,14,4,0,3,56,3
11,8,0,5,4,87,0
0,2,2,3,0,28,1
5,430,0,1,19,21,0
9,17,1,2,3,41,5
8,13,3,2,5,295,5
3,6,1,8,1,76,5
28,410,9,29,71,661,5
9,13,3,6,5,54,5
7,2,1,2,2,52,5
24,307,6,6,34,330,5
10,13,6,2,0,35,1
4,6,2,1,1,28,5
15,42,4,4,27,345,5
21,36,4,6,9,321,5
3,2,0,3,0,19,1
3,11,1,3,7,53,5
0,0,0,0,0,20,0
15,104,4,2,6,82,5
8,24,3,4,7,80,5
7,24,4,3,8,66,5
26,20,5,1,3,47,5
3,23,4,0,5,56,3
16,42,5,6,13,839,5
17,29,0,1,3,22,0
8,24,3,4,7,80,5
13,34,5,6,6,298,5
9,37,2,5,10,122,5
10,13,7,2,2,59,5
9,47,8,2,9,88,5
6,7,1,3,3,54,5
8,201,2,0,17,78,3
7,11,1,3,4,78,5
5,2,1,2,0,28,1
6,5,1,5,3,44,5
4,4,1,2,1,50,5
3,2,0,1,2,17,0
1,6,1,3,1,37,5
1,1,0,1,0,15,1
4,2,1,2,1,16,5
3,15,4,3,2,106,5
5,21,0,4,7,60,0
4,2,1,2,2,40,5
3,4,2,4,5,45,5
4,3,0,2,0,33,1
3,0,1,3,0,36,5
3,7,2,2,2,32,5
4,2,1,2,2,13,5
14,23,2,3,3,425,5
8,39,11,5,11,134,5
21,84,4,4,8,70,5
4,1,1,2,1,242,5
4,3,0,2,0,33,1
5,6,1,3,2,28,5
4,1,0,4,1,38,0
5,12,2,3,3,61,5
4,10,1,1,1,35,5
3,2,2,0,0,70,3
12,376,0,1,12,25,0
5,6,1,3,2,28,5
14,36,3,5,11,145,5
5,13,2,2,3,47,5
2,4,1,2,1,44,5
12,20,5,3,3,57,5
2,0,0,0,0,8,3
5,333,3,2,29,184,5
4,6,0,6,2,40,0
7,5,1,7,4,75,5
4,1,0,0,0,20,3
10,55,4,4,4,103,5
7,2,1,4,2,41,5
7,13,1,3,4,47,5
5,334,3,2,29,187,5
14,24,3,6,2,197,5
11,27,3,2,6,89,5
9,3,1,6,5,65,5
32,193,10,11,24,334,5
5,3,3,9,2,71,5
0,0,0,1,0,16,0
2,3,0,2,0,24,1
12,187,7,11,36,340,5
4,2,0,2,1,16,0
8,10,0,3,5,29,0
12,73,2,6,15,138,5
14,290,7,8,33,289,5
7,8,3,7,1,74,5
6,25,4,5,9,106,5
2,4,2,4,3,88,5
17,226,9,15,41,283,5
6,3,1,1,1,47,5
16,5,3,3,0,22,1
6,8,4,0,4,80,3
1,0,0,1,0,31,0
21,334,4,6,40,168,5
5,333,3,2,29,186,5
13,37,4,5,5,125,5
17,34,3,0,2,37,3
14,35,3,6,11,150,5
6,5,1,3,2,55,5
4,2,0,6,2,33,0
4,3,0,1,2,23,0
8,21,3,7,4,91,5
8,5,3,4,6,41,5
4,5,1,0,3,16,3
3,4,2,4,7,58,5
21,60,6,4,7,133,5
0,0,2,1,0,3,5
6,6,0,4,2,35,0
16,345,0,1,12,13,0
13,15,2,3,3,70,5
3,10,2,0,4,44,3
10,27,3,3,6,90,5
10,2,1,1,0,37,1
3,8,3,2,3,67,5
5,4,0,3,4,52,0
6,0,0,8,0,60,0
4,9,0,1,2,45,0
2,10,1,1,3,35,5
2,14,3,2,5,62,5
17,614,2,8,26,91,5
1,10,3,1,4,23,5
9,4,0,0,0,14,3
2,1,0,0,1,20,3
8,5,3,9,3,70,5
4,192,3,5,26,213,5
17,12,4,6,9,69,5
8,527,6,4,18,67,5
11,27,9,3,8,85,5
30,179,9,9,18,281,5
21,36,4,6,9,321,5
7,47,7,3,11,113,5
4,5,1,5,2,63,5
3,0,0,1,0,4,0
20,236,9,20,48,340,5
7,11,5,1,2,60,5
