densidad_escuelas,densidad_hospitales,densidad_gimnasios,densidad_papelerias,densidad_farmacias,densidad_comercios,target,oportunidad_negocio
16,270,5,13,52,594,5,tienda_deportiva
9,8,2,5,4,68,5,tienda_deportiva
0,1,0,0,0,1,1,farmacia
10,138,3,2,15,253,5,tienda_deportiva
5,7,1,3,0,47,1,farmacia
11,30,6,8,13,136,5,tienda_deportiva
3,2,0,1,0,23,1,farmacia
3,0,0,0,0,8,3,papeleria
3,329,3,2,29,178,5,tienda_deportiva
8,22,2,2,3,95,5,tienda_deportiva
7,13,2,4,2,54,5,tienda_deportiva
4,1,0,1,0,8,1,farmacia
8,2,0,4,1,81,0,cafeteria
9,107,2,4,11,162,5,tienda_deportiva
4,9,2,4,2,37,5,tienda_deportiva
23,55,1,6,28,969,5,tienda_deportiva
4,9,3,2,2,69,5,tienda_deportiva
0,2,0,3,1,34,0,cafeteria
2,5,0,3,8,131,0,cafeteria
34,390,9,42,85,783,5,tienda_deportiva
8,7,2,7,4,100,5,tienda_deportiva
6,2,0,0,1,14,3,papeleria
4,4,0,3,4,49,0,cafeteria
9,409,1,2,24,222,5,tienda_deportiva
5,326,3,3,30,198,5,tienda_deportiva
10,13,1,4,6,51,5,tienda_deportiva
5,4,2,1,1,14,5,tienda_deportiva
0,5,0,0,0,33,1,farmacia
12,20,2,6,5,73,5,tienda_deportiva
3,10,1,1,2,33,5,tienda_deportiva
3,3,1,1,2,27,5,tienda_deportiva
7,7,5,5,1,42,5,tienda_deportiva
14,5,2,3,2,37,5,tienda_deportiva
13,41,4,4,4,143,5,tienda_deportiva
45,15,2,4,4,33,5,tienda_deportiva
29,334,10,52,115,944,5,tienda_deportiva
1,3,2,0,1,26,3,papeleria
3,14,2,2,5,77,5,tienda_deportiva
8,12,1,2,6,64,5,tienda_deportiva
13,8,0,7,4,75,0,cafeteria
2,1,0,0,0,21,3,papeleria
2,1,1,2,0,62,1,farmacia
10,10,5,1,3,37,5,tienda_deportiva
3,14,2,1,4,70,5,tienda_deportiva
40,1,3,1,0,7,1,farmacia
3,1,1,1,1,16,5,tienda_deportiva
2,4,1,0,2,25,3,papeleria
8,2,3,3,3,38,5,tienda_deportiva
9,170,1,6,25,146,5,tienda_deportiva
4,10,0,1,7,42,0,cafeteria
10,8,8,1,0,16,1,farmacia
6,4,0,2,2,35,0,cafeteria
14,13,2,0,1,38,3,papeleria
4,16,5,0,10,73,3,papeleria
18,75,8,4,13,151,5,tienda_deportiva
0,1,0,0,0,7,1,farmacia
10,1,2,1,1,13,5,tienda_deportiva
0,4,2,2,2,116,5,tienda_deportiva
6,11,4,4,2,32,5,tienda_deportiva
11,11,0,3,7,75,0,cafeteria
7,5,1,4,1,77,5,tienda_deportiva
4,10,0,1,5,44,0,cafeteria
11,9,4,4,2,40,5,tienda_deportiva
2,144,1,1,26,60,5,tienda_deportiva
0,2,1,0,0,20,1,farmacia
5,5,2,2,4,35,5,tienda_deportiva
6,34,2,6,14,367,5,tienda_deportiva
6,4,2,6,0,48,1,farmacia
1,1,1,0,0,27,3,papeleria
9,1,0,2,0,71,1,farmacia
5,12,3,3,4,61,5,tienda_deportiva
5,2,1,4,2,42,5,tienda_deportiva
8,22,1,0,3,30,3,papeleria
29,352,11,50,118,942,5,tienda_deportiva
9,8,0,2,0,29,1,farmacia
4,9,4,2,3,88,5,tienda_deportiva
9,411,1,3,24,225,5,tienda_deportiva
1,0,2,3,0,23,5,tienda_deportiva
9,13,2,1,4,35,5,tienda_deportiva
12,37,3,7,9,159,5,tienda_deportiva
4,1,1,2,1,242,5,tienda_deportiva
5,6,0,2,1,145,0,cafeteria
11,8,6,1,8,94,5,tienda_deportiva
5,7,0,3,1,19,0,cafeteria
2,9,0,1,0,26,1,farmacia
1,2,0,2,1,25,0,cafeteria
2,2,0,1,1,31,0,cafeteria
4,4,0,2,2,52,0,cafeteria
0,9,0,1,2,21,0,cafeteria
2,2,2,3,5,53,5,tienda_deportiva
4,0,0,2,1,46,0,cafeteria
8,107,3,3,11,110,5,tienda_deportiva
9,512,8,4,18,58,5,tienda_deportiva
8,8,2,1,5,68,5,tienda_deportiva
14,234,6,14,49,599,5,tienda_deportiva
8,21,2,5,7,55,5,tienda_deportiva
7,8,1,0,2,76,3,papeleria
14,59,2,6,27,923,5,tienda_deportiva
18,12,3,8,12,81,5,tienda_deportiva
2,2,1,1,1,36,5,tienda_deportiva
6,11,3,6,2,60,5,tienda_deportiva
9,543,1,2,20,44,5,tienda_deportiva
8,2,3,3,3,38,5,tienda_deportiva
3,1,2,2,0,26,1,farmacia
9,7,0,2,2,24,0,cafeteria
2,11,1,3,2,22,5,tienda_deportiva
1,0,0,0,0,5,3,papeleria
8,24,2,1,2,405,5,tienda_deportiva
20,80,9,4,13,142,5,tienda_deportiva
14,24,3,1,5,56,5,tienda_deportiva
10,117,3,9,11,222,5,tienda_deportiva
2,17,3,2,5,74,5,tienda_deportiva
2,3,0,3,1,66,0,cafeteria
13,9,1,0,0,20,3,papeleria
12,308,7,8,34,306,5,tienda_deportiva
3,11,3,2,2,54,5,tienda_deportiva
3,2,3,2,0,27,1,farmacia
3,2,0,0,3,59,3,papeleria
6,418,1,1,20,30,5,tienda_deportiva
22,69,7,5,21,276,5,tienda_deportiva
18,39,1,4,20,225,5,tienda_deportiva
10,139,4,7,16,165,5,tienda_deportiva
10,48,9,2,9,91,5,tienda_deportiva
8,26,5,5,5,134,5,tienda_deportiva
7,20,3,8,3,34,5,tienda_deportiva
13,41,4,4,3,137,5,tienda_deportiva
13,215,2,3,25,71,5,tienda_deportiva
33,93,4,5,9,91,5,tienda_deportiva
4,1,1,1,1,15,5,tienda_deportiva
8,2,1,1,2,49,5,tienda_deportiva
14,28,2,3,7,85,5,tienda_deportiva
32,100,2,6,14,163,5,tienda_deportiva
5,9,4,4,4,58,5,tienda_deportiva
23,55,1,6,28,969,5,tienda_deportiva
6,10,2,3,3,58,5,tienda_deportiva
22,69,6,5,22,273,5,tienda_deportiva
9,18,5,6,7,94,5,tienda_deportiva
8,10,1,1,2,23,5,tienda_deportiva
4,34,8,0,4,34,3,papeleria
9,18,5,6,7,94,5,tienda_deportiva
9,6,0,7,3,51,0,cafeteria
8,15,4,1,8,219,5,tienda_deportiva
5,21,3,1,6,66,5,tienda_deportiva
9,12,6,2,5,84,5,tienda_deportiva
5,2,0,1,1,13,0,cafeteria
5,2,2,2,1,37,5,tienda_deportiva
8,31,5,1,12,88,5,tienda_deportiva
27,101,8,2,9,89,5,tienda_deportiva
0,0,0,0,0,5,0,cafeteria
21,119,4,4,8,85,5,tienda_deportiva
13,16,1,6,6,123,5,tienda_deportiva
7,1,0,1,2,37,0,cafeteria
15,34,4,10,7,121,5,tienda_deportiva
12,48,5,3,10,155,5,tienda_deportiva
6,5,1,3,2,55,5,tienda_deportiva
8,3,4,1,0,28,1,farmacia
2,1,0,0,0,10,3,papeleria
8,14,1,5,1,59,5,tienda_deportiva
7,20,2,0,1,34,3,papeleria
3,2,0,0,2,29,3,papeleria
8,5,0,4,2,52,0,cafeteria
12,14,2,2,2,40,5,tienda_deportiva
9,8,1,4,5,57,5,tienda_deportiva
3,5,2,1,1,26,5,tienda_deportiva
5,4,1,2,3,39,5,tienda_deportiva
19,43,1,1,4,51,5,tienda_deportiva
3,0,0,1,1,16,0,cafeteria
2,15,2,3,4,49,5,tienda_deportiva
7,13,4,2,8,172,5,tienda_deportiva
9,56,8,3,5,47,5,tienda_deportiva
7,9,2,4,7,49,5,tienda_deportiva
23,55,1,6,28,969,5,tienda_deportiva
5,10,5,2,3,84,5,tienda_deportiva
3,2,0,1,1,31,0,cafeteria
4,8,3,3,3,38,5,tienda_deportiva
11,22,2,6,6,124,5,tienda_deportiva
14,11,3,2,8,138,5,tienda_deportiva
18,174,4,33,96,608,5,tienda_deportiva
16,28,3,8,13,118,5,tienda_deportiva
30,419,10,46,101,799,5,tienda_deportiva
5,12,2,3,3,61,5,tienda_deportiva
10,138,3,2,15,253,5,tienda_deportiva
3,14,4,2,4,37,5,tienda_deportiva
8,15,4,1,8,219,5,tienda_deportiva
4,4,0,1,0,17,1,farmacia
9,200,7,7,31,278,5,tienda_deportiva
4,7,2,3,4,46,5,tienda_deportiva
10,5,0,8,4,73,0,cafeteria
20,87,6,13,28,502,5,tienda_deportiva
0,0,1,0,0,5,5,tienda_deportiva
3,0,0,2,1,26,0,cafeteria
9,267,0,1,7,20,0,cafeteria
5,4,0,5,0,36,1,farmacia
6,5,1,6,4,55,5,tienda_deportiva
9,27,5,2,9,85,5,tienda_deportiva
0,0,1,0,4,96,5,tienda_deportiva
9,76,1,2,6,40,5,tienda_deportiva
4,2,0,2,0,21,1,farmacia
3,14,2,1,4,70,5,tienda_deportiva
3,2,0,2,0,14,1,farmacia
7,7,0,2,3,83,0,cafeteria
13,250,3,8,13,174,5,tienda_deportiva
18,11,5,2,7,118,5,tienda_deportiva
12,17,7,1,2,71,5,tienda_deportiva
2,0,0,0,0,3,3,papeleria
6,3,0,2,2,42,0,cafeteria
2,2,0,1,0,40,1,farmacia
9,17,0,4,3,40,0,cafeteria
25,55,2,6,29,971,5,tienda_deportiva
5,2,0,3,1,41,0,cafeteria
7,2,2,0,1,36,3,papeleria
18,25,5,3,6,94,5,tienda_deportiva
9,409,1,2,24,222,5,tienda_deportiva
2,8,2,1,3,77,5,tienda_deportiva
2,0,0,0,0,13,3,papeleria
17,85,0,2,6,86,0,cafeteria
9,17,1,2,3,41,5,tienda_deportiva
31,377,9,44,100,826,5,tienda_deportiva
10,31,3,1,1,37,5,tienda_deportiva
14,47,4,5,6,114,5,tienda_deportiva
16,23,2,5,6,60,5,tienda_deportiva
7,3,0,2,1,65,0,cafeteria
9,24,7,4,6,120,5,tienda_deportiva
21,159,6,11,20,344,5,tienda_deportiva
4,10,6,2,3,92,5,tienda_deportiva
11,311,2,3,12,57,5,tienda_deportiva
29,69,7,3,14,182,5,tienda_deportiva
4,4,0,6,0,75,1,farmacia
5,7,0,5,2,46,0,cafeteria
8,7,3,4,2,96,5,tienda_deportiva
2,3,0,2,2,60,0,cafeteria
9,172,1,6,28,137,5,tienda_deportiva
0,1,0,0,2,31,0,cafeteria
12,19,5,1,1,40,5,tienda_deportiva
7,7,1,4,4,80,5,tienda_deportiva
11,9,3,7,5,114,5,tienda_deportiva
1,4,0,0,2,21,3,papeleria
3,4,1,4,0,28,1,farmacia
25,55,2,6,29,971,5,tienda_deportiva
6,2,0,2,1,60,0,cafeteria
12,128,6,9,35,558,5,tienda_deportiva
1,5,1,2,1,52,5,tienda_deportiva
5,0,1,2,0,36,5,tienda_deportiva
16,572,2,5,23,78,5,tienda_deportiva
23,55,1,6,28,969,5,tienda_deportiva
9,11,4,6,7,55,5,tienda_deportiva
0,1,0,0,0,8,1,farmacia
19,53,5,8,19,878,5,tienda_deportiva
34,410,9,55,135,962,5,tienda_deportiva
2,9,2,0,2,34,3,papeleria
19,584,3,9,19,102,5,tienda_deportiva
6,7,1,1,3,44,5,tienda_deportiva
8,57,8,3,5,51,5,tienda_deportiva
27,10,0,3,6,42,0,cafeteria
4,2,1,2,2,13,5,tienda_deportiva
12,20,4,6,8,114,5,tienda_deportiva
5,9,3,1,4,93,5,tienda_deportiva
12,56,6,9,19,395,5,tienda_deportiva
9,11,1,5,5,57,5,tienda_deportiva
7,13,2,3,5,24,5,tienda_deportiva
8,10,1,4,5,99,5,tienda_deportiva
13,25,3,4,6,80,5,tienda_deportiva
5,1,0,2,0,14,1,farmacia
4,9,1,5,1,22,5,tienda_deportiva
50,5,3,4,5,26,5,tienda_deportiva
3,7,3,2,3,135,5,tienda_deportiva
4,5,0,2,0,24,1,farmacia
3,3,0,0,0,20,3,papeleria
18,103,4,5,8,108,5,tienda_deportiva
6,4,0,2,1,20,0,cafeteria
5,7,1,1,1,37,5,tienda_deportiva
6,2,0,3,1,11,0,cafeteria
6,1,0,2,1,31,0,cafeteria
3,7,2,0,1,57,3,papeleria
2,16,6,0,14,65,3,papeleria
13,22,2,3,2,420,5,tienda_deportiva
10,6,0,4,5,44,0,cafeteria
4,2,1,1,1,37,5,tienda_deportiva
2,1,0,2,0,22,1,farmacia
3,1,3,2,2,23,5,tienda_deportiva
2,6,2,1,1,38,5,tienda_deportiva
1,8,3,1,4,23,5,tienda_deportiva
5,9,2,2,0,68,1,farmacia
8,3,4,1,0,28,1,farmacia
5,22,4,1,5,56,5,tienda_deportiva
31,130,10,6,22,277,5,tienda_deportiva
9,14,5,0,4,78,3,papeleria
8,13,3,4,5,77,5,tienda_deportiva
1,1,0,0,0,0,3,papeleria
4,9,3,2,2,69,5,tienda_deportiva
9,13,3,6,5,54,5,tienda_deportiva
2,1,3,1,1,27,5,tienda_deportiva
2,4,3,2,0,24,1,farmacia
7,13,2,4,3,75,5,tienda_deportiva
5,12,2,2,4,68,5,tienda_deportiva
7,2,0,3,3,36,0,cafeteria
4,22,1,0,2,20,3,papeleria
5,3,3,9,2,71,5,tienda_deportiva
13,43,1,4,9,62,5,tienda_deportiva
2,3,2,0,2,19,3,papeleria
8,41,4,4,7,93,5,tienda_deportiva
16,44,0,1,4,54,0,cafeteria
1,2,0,2,0,27,1,farmacia
8,8,1,3,1,34,5,tienda_deportiva
15,31,1,2,4,52,5,tienda_deportiva
19,69,5,2,14,103,5,tienda_deportiva
26,55,2,7,29,972,5,tienda_deportiva
5,10,3,2,7,65,5,tienda_deportiva
13,7,4,2,3,44,5,tienda_deportiva
6,6,6,2,2,37,5,tienda_deportiva
4,10,3,5,4,102,5,tienda_deportiva
15,14,3,2,8,129,5,tienda_deportiva
16,215,2,6,8,65,5,tienda_deportiva
11,22,2,6,6,124,5,tienda_deportiva
11,311,2,3,12,57,5,tienda_deportiva
27,116,10,10,28,416,5,tienda_deportiva
3,2,1,0,1,14,3,papeleria
9,13,3,6,5,54,5,tienda_deportiva
1,2,0,1,1,51,0,cafeteria
6,8,2,3,1,19,5,tienda_deportiva
12,64,2,6,9,57,5,tienda_deportiva
13,27,2,4,5,85,5,tienda_deportiva
10,28,3,4,5,107,5,tienda_deportiva
6,5,2,2,1,27,5,tienda_deportiva
12,20,2,6,5,73,5,tienda_deportiva
3,11,4,3,4,52,5,tienda_deportiva
15,60,2,4,13,117,5,tienda_deportiva
9,23,2,2,5,101,5,tienda_deportiva
7,8,2,2,0,40,1,farmacia
5,8,2,4,3,44,5,tienda_deportiva
10,17,6,2,5,80,5,tienda_deportiva
3,1,0,1,0,23,1,farmacia
6,2,0,2,1,64,0,cafeteria
14,153,2,23,80,503,5,tienda_deportiva
10,13,6,8,7,126,5,tienda_deportiva
12,6,1,4,1,43,5,tienda_deportiva
2,3,1,4,2,50,5,tienda_deportiva
5,12,3,3,4,61,5,tienda_deportiva
4,5,1,2,3,39,5,tienda_deportiva
21,409,4,9,18,118,5,tienda_deportiva
17,274,3,7,35,195,5,tienda_deportiva
20,200,5,30,105,647,5,tienda_deportiva
5,8,2,1,6,35,5,tienda_deportiva
5,334,3,3,30,195,5,tienda_deportiva
1,1,1,0,0,3,3,papeleria
3,1,0,0,0,6,3,papeleria
0,1,0,0,0,8,1,farmacia
5,6,1,2,0,44,1,farmacia
11,27,3,3,8,144,5,tienda_deportiva
13,34,5,8,13,192,5,tienda_deportiva
23,216,5,6,32,265,5,tienda_deportiva
0,0,0,1,2,20,0,cafeteria
3,10,1,2,1,64,5,tienda_deportiva
4,1,1,0,0,33,3,papeleria
6,14,1,1,4,42,5,tienda_deportiva
30,184,5,7,19,175,5,tienda_deportiva
7,7,0,2,2,83,0,cafeteria
7,18,2,0,6,36,3,papeleria
8,4,2,1,0,26,1,farmacia
12,7,6,1,7,96,5,tienda_deportiva
31,86,4,4,15,160,5,tienda_deportiva
6,0,0,1,0,9,0,cafeteria
3,2,0,1,1,31,0,cafeteria
4,0,0,1,0,16,0,cafeteria
14,21,3,4,8,77,5,tienda_deportiva
0,2,2,1,0,22,1,farmacia
11,30,4,5,7,122,5,tienda_deportiva
4,7,0,7,4,145,0,cafeteria
5,17,0,0,6,56,3,papeleria
19,342,8,22,73,724,5,tienda_deportiva
5,2,0,1,0,22,1,farmacia
7,388,0,0,21,24,3,papeleria
4,17,5,0,10,75,3,papeleria
10,19,7,4,7,77,5,tienda_deportiva
0,0,1,0,1,14,5,tienda_deportiva
7,17,3,5,2,34,5,tienda_deportiva
26,20,5,1,3,47,5,tienda_deportiva
4,4,0,1,0,25,1,farmacia
4,10,2,1,6,52,5,tienda_deportiva
9,23,4,7,4,108,5,tienda_deportiva
11,57,4,2,13,101,5,tienda_deportiva
4,5,1,5,0,30,1,farmacia
7,8,0,7,1,77,0,cafeteria
1,4,2,1,1,89,5,tienda_deportiva
8,39,4,3,6,86,5,tienda_deportiva
13,285,7,8,31,276,5,tienda_deportiva
13,22,4,1,6,50,5,tienda_deportiva
3,1,0,0,1,10,3,papeleria
29,352,11,50,118,942,5,tienda_deportiva
8,7,0,1,0,32,1,farmacia
8,10,1,2,3,46,5,tienda_deportiva
14,11,3,0,2,40,3,papeleria
2,2,0,1,0,18,1,farmacia
7,1,2,6,2,57,5,tienda_deportiva
7,98,2,1,10,36,5,tienda_deportiva
2,0,1,0,1,49,3,papeleria
6,3,4,1,3,55,5,tienda_deportiva
8,26,1,4,12,350,5,tienda_deportiva
32,77,3,4,17,153,5,tienda_deportiva
1,2,1,0,1,26,3,papeleria
21,37,6,6,9,326,5,tienda_deportiva
12,203,7,12,37,311,5,tienda_deportiva
0,1,1,0,0,3,1,farmacia
16,248,2,5,30,82,5,tienda_deportiva
6,34,2,6,14,367,5,tienda_deportiva
5,6,2,6,4,94,5,tienda_deportiva
2,3,0,0,0,8,3,papeleria
17,582,2,9,20,92,5,tienda_deportiva
13,54,5,6,12,505,5,tienda_deportiva
4,8,4,1,6,101,5,tienda_deportiva
11,25,1,0,3,57,3,papeleria
5,5,1,1,4,45,5,tienda_deportiva
3,12,1,1,4,37,5,tienda_deportiva
4,30,2,1,7,43,5,tienda_deportiva
24,91,2,5,10,59,5,tienda_deportiva
13,25,3,4,6,80,5,tienda_deportiva
29,352,11,50,118,942,5,tienda_deportiva
3,3,1,2,2,30,5,tienda_deportiva
1,0,1,0,0,2,3,papeleria
24,72,7,2,9,123,5,tienda_deportiva
7,23,1,8,8,127,5,tienda_deportiva
19,53,0,6,28,609,0,cafeteria
4,4,2,3,0,26,1,farmacia
30,127,8,9,26,339,5,tienda_deportiva
1,2,1,0,0,7,3,papeleria
5,2,1,3,0,28,1,farmacia
6,0,0,1,0,11,0,cafeteria
0,0,1,1,0,18,5,tienda_deportiva
1,7,1,0,3,20,3,papeleria
27,145,7,2,11,128,5,tienda_deportiva
9,22,5,3,3,68,5,tienda_deportiva
17,25,2,4,6,66,5,tienda_deportiva
12,7,3,5,1,26,5,tienda_deportiva
2,77,1,1,25,58,5,tienda_deportiva
1,2,1,0,2,19,3,papeleria
13,18,1,5,5,123,5,tienda_deportiva
25,274,10,54,141,1100,5,tienda_deportiva
6,5,3,4,4,94,5,tienda_deportiva
9,4,4,0,2,19,3,papeleria
2,7,1,4,4,58,5,tienda_deportiva
5,12,1,1,7,59,5,tienda_deportiva
0,1,0,0,0,0,1,farmacia
3,4,0,1,0,44,1,farmacia
3,1,17,0,0,14,3,papeleria
5,1,0,1,0,17,1,farmacia
14,154,2,24,78,492,5,tienda_deportiva
12,12,4,2,4,60,5,tienda_deportiva
9,36,2,2,8,49,5,tienda_deportiva
12,23,3,1,9,132,5,tienda_deportiva
11,16,5,8,9,115,5,tienda_deportiva
5,5,1,3,3,22,5,tienda_deportiva
9,10,0,3,7,62,0,cafeteria
5,14,4,3,3,64,5,tienda_deportiva
12,53,3,5,14,541,5,tienda_deportiva
6,2,3,2,2,39,5,tienda_deportiva
4,8,1,1,6,26,5,tienda_deportiva
8,3,6,7,2,87,5,tienda_deportiva
2,3,1,2,6,74,5,tienda_deportiva
1,3,0,0,3,133,3,papeleria
0,1,1,0,0,25,1,farmacia
11,6,1,4,2,42,5,tienda_deportiva
2,1,1,0,0,12,3,papeleria
4,15,1,4,3,34,5,tienda_deportiva
10,21,2,3,6,111,5,tienda_deportiva
0,0,2,1,0,3,5,tienda_deportiva
8,8,2,1,5,68,5,tienda_deportiva
7,90,5,2,5,65,5,tienda_deportiva
14,4,3,2,1,28,5,tienda_deportiva
23,40,1,3,4,48,5,tienda_deportiva
6,5,0,1,3,39,0,cafeteria
11,26,3,3,5,74,5,tienda_deportiva
3,17,2,0,7,35,3,papeleria
34,410,9,55,135,962,5,tienda_deportiva
0,0,1,1,0,15,5,tienda_deportiva
25,377,9,19,58,618,5,tienda_deportiva
13,27,2,7,3,63,5,tienda_deportiva
0,3,2,5,4,44,5,tienda_deportiva
3,0,2,2,0,16,5,tienda_deportiva
12,35,0,2,4,50,0,cafeteria
4,5,0,1,0,24,1,farmacia
7,12,2,5,2,78,5,tienda_deportiva
14,9,5,1,4,62,5,tienda_deportiva
12,231,5,3,12,62,5,tienda_deportiva
3,13,3,1,5,88,5,tienda_deportiva
29,356,11,50,114,937,5,tienda_deportiva
3,8,1,1,0,50,1,farmacia
11,21,4,6,7,116,5,tienda_deportiva
5,2,1,3,2,33,5,tienda_deportiva
12,187,7,11,36,340,5,tienda_deportiva
2,1,2,0,2,24,3,papeleria
9,3,0,2,4,41,0,cafeteria
2,0,0,1,0,15,0,cafeteria
14,32,3,9,2,103,5,tienda_deportiva
7,4,1,1,3,58,5,tienda_deportiva
3,3,0,4,1,25,0,cafeteria
7,6,2,4,3,13,5,tienda_deportiva
12,155,8,8,24,288,5,tienda_deportiva
16,38,4,10,8,117,5,tienda_deportiva
9,2,2,5,2,128,5,tienda_deportiva
9,23,4,7,4,108,5,tienda_deportiva
17,19,4,7,8,137,5,tienda_deportiva
17,39,8,6,12,111,5,tienda_deportiva
13,18,6,3,2,56,5,tienda_deportiva
3,0,0,3,3,46,0,cafeteria
2,8,1,1,1,21,5,tienda_deportiva
10,219,5,3,12,62,5,tienda_deportiva
2,1,0,3,0,48,1,farmacia
5,3,0,6,2,52,0,cafeteria
5,3,1,4,1,60,5,tienda_deportiva
5,19,1,3,4,86,5,tienda_deportiva
19,286,0,1,11,15,0,cafeteria
